basin_id,name,basin_id_in_alerts_map
107,"cávado/ribeiras costeiras",2
12,douro,4
1551779242,ave,3
1551779250,lima,1
17,tejo,8
23,guadiana,12
38,sado,9
47,mondego,6
57,vouga,5
68,mira,11
8,arade,13
948,"ribeiras do alentejo",10
992,"ribeiras do algarve",14
